Item,Word,gpt2_surprisal
151,proceeded up,6.253255844116211
152,typed up,3.6143550872802734
153,rigged up,3.13726806640625
154,rip up,3.4603939056396484
155,cook up,1.8761833906173706
156,felt up,7.918412208557129
157,drank up,5.350527286529541
158,bid up,2.905697822570801
159,press up,7.586295127868652
160,carry up,6.261993408203125
161,done up,5.06119441986084
162,putting up,3.052417039871216
163,typing up,4.246685981750488
164,size up,0.7684503197669983
165,sweeps up,3.163421154022217
166,crowded up,4.141902923583984
167,zip up,2.4439241886138916
168,plugged up,4.564754962921143
169,feeling up,5.8143205642700195
170,bent up,4.307222366333008
171,swam up,4.12066650390625
172,wraps up,2.888350248336792
173,wrinkled up,5.249867916107178
174,fetched up,3.5035176277160645
175,slide up,3.7685656547546387
176,penned up,5.310760498046875
177,meeting up,2.699991464614868
178,mark up,3.3377418518066406
179,dragged up,4.671135902404785
180,steamed up,2.4906675815582275
181,geared up,0.6649072766304016
182,reaches up,3.748457908630371
183,dredged up,0.24848361313343048
184,ranging up,3.754542827606201
185,leaping up,2.9466495513916016
186,shake up,3.7894606590270996
187,blocked up,4.831308364868164
188,hooking up,0.7390804886817932
189,mount up,4.374689102172852
190,stock up,0.5638842582702637
191,tighten up,1.6277036666870117
192,catches up,3.4675493240356445
193,using up,5.298360824584961
194,thought up,7.2660064697265625
195,burn up,3.0237503051757812
196,buy up,5.053462505340576
197,write up,4.711811065673828
198,think up,5.678350448608398
199,stirring up,1.2860939502716064
200,catching up,0.8538793325424194
